,date,size,edges,diameter,clustering,core_percent,anger,disgust,fear,joy,sadness,surprise,volume,daychange
15,2021-01-26,2297,2245,17,0.0004267697860423172,0.01737193763919822,0.03908351438609454,0.0029716565693364253,0.10108822856724477,0.0879560068378908,0.04367922890016934,0.44918031037922623,98390600,-0.4400020000000211
16,2021-01-27,5501,5633,14,0.00011889513593540266,0.6497425883188355,0.0692688952456276,0.005512059381102597,0.09050363390177467,0.07810920819400836,0.17336844399914303,0.3491680993095626,140843800,-1.3699949999999887
17,2021-01-28,4228,4146,17,0.0002196699360299092,0.4286058851905451,0.09501071915011194,0.006278262502714766,0.11059571960113566,0.10266879788815182,0.23222141715834646,0.18408617979169029,142621100,-2.4300079999999866
18,2021-01-29,2937,2821,17,3.0589178968797594e-05,0.3434952144629564,0.09362289256278863,0.006415086681220315,0.1724957001932042,0.11698134223838119,0.10948939455216569,0.17706634544603964,177523800,-3.869995000000017
19,2021-02-01,1373,1252,14,2.0100074724983685e-05,0.34824281150159747,0.07938631903443938,0.0063519695810304215,0.18381668024107822,0.10738689947655601,0.09510802256237914,0.14918710804618826,106239800,0.3899989999999889
20,2021-02-02,1214,1087,17,6.241996520589278e-05,0.3532658693652254,0.08534216847465698,0.006169325850484245,0.15963273865230015,0.11991293758587594,0.08331577613155791,0.1911909478181593,83305400,-0.7399910000000034
21,2021-02-03,1947,1843,17,0.00011343457842713991,0.5046120455778622,0.058257433938278265,0.005449639446650102,0.13260846534181278,0.1477180760733717,0.0765634540644098,0.2488284675763055,89880900,-1.8199930000000109
22,2021-02-04,1679,1572,13,0.00016935832369390042,0.44338422391857507,0.055875563656867126,0.0038757104067648467,0.15150263358068153,0.12107575825732564,0.06413613269807324,0.2239143844420958,84183100,1.089995999999985
23,2021-02-05,1252,1136,18,0.0010523824428296442,0.0,0.07311152090196751,0.0032660153575081977,0.20002504756431186,0.11723086095245958,0.09790538939590179,0.17247609361606492,75693800,-0.5900110000000041
24,2021-02-08,1310,1172,16,7.910099513152946e-05,0.3242320819112628,0.057287232608424755,0.004339750609897452,0.20337852071472537,0.09818314436344298,0.08768068432754572,0.17623994349065863,71297200,0.8800049999999828
25,2021-02-09,1186,1057,14,0.0,0.3547776726584674,0.07397026391640799,0.0038601782055353922,0.19005195835492203,0.11414722287927495,0.052752006451899626,0.18534429889550974,76774200,-0.6099999999999852
26,2021-02-10,1142,1033,16,0.0008151211118465812,0.30784123910939015,0.051589987531645544,0.005612004085533436,0.2395479289715726,0.09312432911491905,0.05012776500361646,0.1772770423102169,73046600,-1.089997000000011
