,date,size,edges,avgdeg,diameter,clustering,connectivity,anger,disgust,fear,joy,sadness,surprise,volume,daychange
14,2021-01-25,2805,3214,-0.1896244925280463,16,0.0005117955542989516,0,0.08184952937469729,0.005336092068462818,0.07000631936376567,0.17054886026563681,0.04779048501409054,0.20257069086254625,443238100,-0.29000000000000004
15,2021-01-26,4166,5170,-0.15125550375459862,13,0.0022232174266982926,0,0.07007484337994804,0.00781142379189599,0.06239168799073821,0.12238188458904695,0.06450730674353096,0.19952945141157236,456850200,-0.1299999999999999
16,2021-01-27,41775,56410,-0.12935133327909215,15,0.0002996232676691283,0,0.12158584927702103,0.012952669657301985,0.1310242999927846,0.10179747454786386,0.0665602508016511,0.1781161699552087,1222342500,-0.4400000000000013
17,2021-01-28,168618,244949,-0.08592860012872791,16,0.00021262102410734022,0,0.2105469912912435,0.019786116138823157,0.19443837880315887,0.058829629954699994,0.13584210628447224,0.12163350912836894,591223900,-3.3499999999999996
18,2021-01-29,74582,98292,-0.12488245668713947,14,0.00015169448434991823,0,0.24659526102584306,0.016373092332548387,0.13938728676049325,0.09035375977739951,0.08177733419697242,0.1140578956471409,602193300,-1.0500000000000007
19,2021-02-01,21365,27866,-0.12588712181435463,15,0.0001282349633360702,0,0.15566902848126915,0.005957541594574076,0.2061030489692159,0.12909814836990416,0.06702625837644319,0.13903158309947033,434608000,-3.6999999999999993
20,2021-02-02,18561,23157,-0.14794823607295057,15,7.942625606114675e-05,0,0.14539051159763736,0.011038066116157798,0.18454891176101135,0.08000320365224396,0.08714574128157311,0.12987018190873104,462775900,-1.6600000000000001
21,2021-02-03,10774,14464,-0.19771042585766815,16,0.00036501425785959163,0,0.12261693781547135,0.007621116606181441,0.16462336968115537,0.10824004818808114,0.06791567916359373,0.15980473579771962,221405100,0.120000000000001
22,2021-02-04,6787,8458,-0.1439608392557724,15,0.00016754348669825213,0,0.14405778644974812,0.00581473009762468,0.21000919726019862,0.12440217097891383,0.07209510679611884,0.12567147276233592,162985800,-1.6099999999999994
23,2021-02-05,5264,6995,-0.16367219044182243,15,0.000800872781883175,0,0.10767519116986919,0.004437887215761795,0.35787581592665374,0.10105236168625042,0.05367867082529517,0.11756483079928569,197097600,-0.33999999999999986
