,date,size,edges,avgdeg,diameter,clustering,connectivity,anger,disgust,fear,joy,sadness,surprise,volume,daychange
10,2021-01-19,349,275,-0.15445689422864775,12,0.0,0,0.04105740000129446,0.0028777980803236253,0.15106079133559863,0.13377727144304194,0.05879847143883495,0.1799824043106798,112483200,1.5
11,2021-01-20,308,247,-0.19642902864413742,12,0.0,0,0.06005327896038342,0.004203654493482427,0.19365993312450488,0.12130998875431304,0.06370565652747594,0.16778245136134146,130140700,-0.4400000000000013
12,2021-01-21,190,142,-0.12631651916722597,7,0.0,0,0.07442838927425147,0.002814344287425152,0.22220984623712597,0.14116766818443127,0.05965518111017959,0.15680279632035934,63272900,0.23000000000000043
13,2021-01-22,286,213,-0.21278001604645755,4,0.0,0,0.07742982097402601,0.003173416606796534,0.09970137761558447,0.1676617599974025,0.042758265906493495,0.19874783224805187,120473600,1.67
14,2021-01-25,1673,1485,-0.1220616481371001,16,0.0,0,0.10040919240127023,0.005850912074931536,0.10710718705366815,0.15229420721980005,0.07161144200410954,0.2203403579415323,363829100,-1.519998000000001
15,2021-01-26,1971,1834,-0.15998104501261692,17,0.0,0,0.0921982104773944,0.006859276056369725,0.1409329712370906,0.15561535298168908,0.06504200776539673,0.1770453154281677,242740800,-0.16999999999999815
16,2021-01-27,11356,11821,-0.12776321191071596,16,0.0,0,0.1404211360000651,0.007554352065578045,0.12518455592856753,0.10673303679494865,0.0962567268351428,0.13336681072870588,372222600,4.850000000000001
17,2021-01-28,37655,41809,-0.08270153874364718,16,0.0,0,0.18047560153495434,0.017933294043888687,0.30411122692126114,0.052653402475210345,0.08548127274660133,0.09580618091751238,194906600,-4.819999000000001
18,2021-01-29,14223,14853,-0.12810186610507027,16,0.0,0,0.14830514588976382,0.005538606679018336,0.16098678090991542,0.17990148071033976,0.08365644192510004,0.1367272590341972,94049200,-3.880000000000001
19,2021-02-01,3889,3729,-0.12187941459687793,18,0.0,0,0.15928540816413247,0.004224320221601196,0.1520934679339471,0.13079709690661528,0.07807566202171133,0.15100165797093074,78506000,-0.009999999999999787
20,2021-02-02,2978,2830,-0.16469450927859425,16,0.0,0,0.12570195305817344,0.004130027578500188,0.18739644013543183,0.13243279776185174,0.10753391178433548,0.17432922914434396,80520900,-1.92
21,2021-02-03,1657,1554,-0.19534012312411542,12,0.0,0,0.1304377087101599,0.00429299463955996,0.14177161136717617,0.13091354441199063,0.08859888951039523,0.18911823705603673,50001300,0.27999999999999936
22,2021-02-04,1131,1003,-0.17013381119169166,12,0.0,0,0.09368909847508443,0.008421220523404497,0.14439997582877281,0.14610614578731534,0.11995322094915564,0.17513156327125332,33668000,0.030000000000001137
23,2021-02-05,858,751,-0.14014467472978173,17,0.0,0,0.10010436807526153,0.007744314253054593,0.16517358836353058,0.15318302519047594,0.10211535372288023,0.14743634411885034,44183100,1.3100000000000005
24,2021-02-08,516,421,-0.18262850354184837,13,0.0,0,0.11282608052217888,0.0030899364664202385,0.14511745466284076,0.14820602541965008,0.07558923569552528,0.1600671092325685,37068900,-0.019999999999999574
25,2021-02-09,360,271,0.0669402379666497,9,0.0,0,0.08856388828576049,0.004512229634271846,0.23059567134304199,0.13213786177572812,0.08305981314401295,0.1493044370859547,23252500,-0.17999999999999972
26,2021-02-10,343,256,-0.004169290030574467,6,0.0,0,0.06827574361754386,0.002454881037298247,0.21645714739308772,0.12376545243964905,0.0836738472764912,0.15342654697929814,27277900,0.02999999999999936
27,2021-02-11,286,221,-0.03750963766039904,12,0.0,0,0.09555842189786483,0.004437838013380781,0.17796345664021349,0.1541787261499287,0.06886040907330956,0.1741431210330961,22895500,-0.379999999999999
28,2021-02-12,209,164,-0.08890843540426849,10,0.0,0,0.0796043259051546,0.0029547102311855704,0.16838843138577328,0.13099870244845355,0.08019584637113396,0.13940145675051557,18222500,0.75
29,2021-02-16,291,240,-0.16083085040697528,7,0.0,0,0.07000736722028457,0.006482201727722407,0.12969230456921718,0.13723409259836308,0.08316349701459069,0.18323365520925242,25480200,-0.9099999999999984
30,2021-02-17,273,236,-0.26611752205404965,2,0.0,0,0.05706457025173607,0.003769643386215279,0.12667505294583298,0.1303537238732638,0.14508322059027765,0.1636750152319445,26222900,-0.4800000000000004
31,2021-02-18,305,260,-0.202014322884351,13,0.0,0,0.12118402534896557,0.02646596810668963,0.1736033959373794,0.10782025324379307,0.11185761738551715,0.1364718480024138,19052600,0.10999999999999943
32,2021-02-19,185,143,-0.22161272764314482,11,0.0,0,0.11364966968545462,0.014797275435212127,0.15848349073757584,0.1164483204424244,0.10387839204787887,0.16411613339393952,20132700,-0.07000000000000028
33,2021-02-22,144,114,-0.16522697280897283,6,0.0,0,0.08746214009523813,0.005167712858027213,0.18497007308244887,0.15148194014897962,0.09267424124081637,0.15344919701360554,21227500,0.07000000000000028
34,2021-02-23,129,99,-0.04166215757884145,5,0.0,0,0.06382139987589286,0.003030031439553572,0.11799944321696422,0.1513332522991071,0.11297701591964282,0.1757099516241071,27150600,0.11000000000000121
35,2021-02-24,1312,1255,-0.20223810876074177,16,0.0,0,0.08592603404141043,0.002943237183863471,0.36452092740451164,0.11361337064861239,0.036862713057014024,0.149043003908477,40660700,1.0300000000000011
36,2021-02-25,1358,1275,-0.1470510547259283,16,0.0,0,0.07036533422881605,0.0025780092985623923,0.17613569957380595,0.11033514366073448,0.06541434309488926,0.24418800857694775,46082800,-1.5600000000000005
37,2021-02-26,758,718,-0.2183011178583772,10,0.0,0,0.06629255935567958,0.0018510044241899575,0.31120426938556883,0.1476693550028297,0.06204551170878075,0.18226306188612681,22542400,-0.4299999999999997
38,2021-03-01,498,474,-0.23992622107123968,10,0.0,0,0.08373245496015959,0.0022230024413440064,0.24858046989583918,0.13246251586831964,0.0571129714454401,0.1845128993139193,24897300,0.620000000000001
39,2021-03-02,285,251,-0.23398518440123203,11,0.0,0,0.09006830838047117,0.0052664269062289645,0.21679722758989883,0.16558513028821592,0.05508596504949496,0.2072640619720536,12395300,-0.40000000000000036
40,2021-03-03,346,313,-0.24012309281997343,7,0.0,0,0.07168609283731374,0.0017734367022601285,0.47171908721066047,0.09448620634072491,0.06026420279530914,0.10599285869658838,14866300,-0.33000000000000007
41,2021-03-04,429,419,-0.27905323695673245,9,0.0,0,0.06902797047535629,0.0033959913649572533,0.10816329948774998,0.09325401165427341,0.09296760099572669,0.26374585447991505,26124100,-0.16999999999999993
42,2021-03-05,407,388,-0.2977872441093934,10,0.0,0,0.05195374225605094,0.0024768694104299353,0.06022770741496809,0.18692107712133701,0.06485618904697452,0.2584543161589173,23723400,-0.3500000000000014
43,2021-03-08,304,278,-0.2641146501166944,6,0.0,0,0.0737550294285714,0.003193015098783066,0.11475052462883592,0.10787399438042346,0.1097171371029098,0.2588364777164022,16479500,0.35999999999999943
44,2021-03-09,418,373,-0.21552698452440985,8,0.0,0,0.07610340407140026,0.002844944686680005,0.1159269326989999,0.1743671207118002,0.05675284731239972,0.22331450910419973,21437800,0.2599999999999998
